"id","created_at","source_name","layer","trust","region","domain","title","summary","url","keywords_hit","processed","result"
"146","2026-04-06 19:00:37.275359+00","Al Jazeera / TASS (06 Apr 2026)","L0","HIGH","Middle East (Iran, Strait of Hormuz, Lebanon)","military/escalation","US-Israeli strikes on Iran escalate; Trump threatens infrastructure destruction as Hormuz deadline looms","DefSec Hegseth confirms escalating strikes on Iran amid Strait of Hormuz deadline pressure. Trump publicly states preference to seize Iranian oil but acknowledges US public wants forces home. Threats to destroy Iranian bridges and power plants reported. UN reports dozens of casualties in Lebanon from Israeli strikes; humanitarian crisis mounting across Middle East.","https://www.aljazeera.com/video/newsfeed/2026/4/6/hegseth-says-strikes-on-iran-increasing-as-hormuz-deadline-looms","","True",""
"145","2026-04-06 16:00:45.646597+00","UN News / Google News (Reuters aggregator)","L0","HIGH","Middle East / Levant","Military/Conflict","Middle East Escalation: Israeli Strikes Expand to Lebanon; Iran Rejects Ceasefire","Strikes and counter-strikes persist across Middle East region with dozens of casualties reported over weekend in Lebanon following Israeli strikes targeting south and Beirut. Iran formally rejects ceasefire proposals, emphasizing need for permanent end to war. UN reports critical infrastructure strain and rising humanitarian crisis.","https://news.un.org/en/story/2026/04/1167251","","True",""
"144","2026-04-06 13:00:52.274509+00","Reuters / Al Jazeera / TASS","L0","HIGH","Middle East / Persian Gulf / Iran-US axis","Military / Critical Infrastructure","Iran struck US forces relocated on Kuwait's Bubiyan island; US operation rescue air officer from Iran unfolded; petrochemical plants attacked in southern Iran","Iranian military reported striking US military positions on Bubiyan Island (Kuwait). Concurrent reporting indicates US conducted covert rescue operation of air officer from Iranian territory. TASS reports auxiliary petrochemical companies in Asaluyeh (southern Iran) came under attack with all plants de-energized. UN nuclear agency chief expressed deep concern over latest attack on Iranian power infrastructure. Pattern suggests tit-for-tat escalation cycle with dual-domain (kinetic + infrastructure) targeting.","https://news.google.com/rss/articles/CBMiygFBVV95cUxNY3hYc1l0LW5peTVaa3IxOEJlemZGN1YyUS14bEVINHd1NDM5X1RScnAwTTZYMXhIaHpnM3dQSk43czlLcV85WDBsRUIxZWlmZ2tvZ1R6ZG5VeXhXUTV3XzFGRkE4VmJxcWV6OTRRRV9VTXk3bHRRcV9EbmwzR2p0TTVnblRzeWtBNzN1ekN6MlNHLVlzZnBlRF9RX1g0VkhIMzFpYkNjdXhyaDFXd2JLSlNNd1RhWHJVR3VBNWxKZTJWUEhMVjVKOUp3?oc=5","","True",""
"143","2026-04-06 10:00:47.471878+00","Reuters / UN News / Google News Aggregator","L0","HIGH","Middle East / Persian Gulf / Red Sea","Military / Diplomatic / Crisis Escalation","Iran strikes US forces on Kuwait's Bubiyan Island; ceasefire plan tabled to both sides","Iran conducted strike on US-relocated forces at Bubiyan Island (Kuwait); simultaneous ceasefire proposal submitted to both Iran and US with immediate cessation terms. UN Secretary-General Guterres warns of 'wider war' as Middle East conflict enters second month. Houthi missile activity on Israel ongoing; Red Sea shipping risks resurging.","https://news.google.com/rss/articles/CBMiygFBVV95cUxNY3hYc1l0LW5peTVaa3IxOEJlemZGN1YyUS14bEVINHd1NDM5X1RScnAwTTZYMXhIaHpnM3dQSk43czlLcV85WDBsRUIxZWlmZ2tvZ1R6ZG5VeXhXUTV3XzFGRkE4VmJxcWV6OTRRRV9VTXk3bHRRcV9EbmwzR2p0TTVnblRzeWtBNzN1ekN6MlNHLVlzZnBlRF9RX1g0VkhIMzFpYkNjdXhyaDFXd2JLSlNNd1RhWHJVR3VBNWxKZTJWUEhMVjVKOUp3","","True",""
"140","2026-04-06 01:00:40.651893+00","Al Jazeera / UN News","L0","HIGH","Middle East / Persian Gulf","Crisis Response / Nuclear Safety / Maritime Commerce","Iran Rejects Trump's Tuesday Deadline on Strait of Hormuz; Nuclear Facility Attack Reports","Tehran rejected a 48-hour ceasefire ultimatum from the US tied to Strait of Hormuz transit. UN nuclear agency chief expressed 'deep concern' over reports of a second attack on Iranian power plant infrastructure. Escalation signals intensifying ahead of Tuesday deadline.","https://www.aljazeera.com/news/liveblog/2026/4/6/iran-war-live-tehran-rejects-trumps-tuesday-deadline-on-strait-of-hormuz","","True",""
"139","2026-04-05 22:00:37.341456+00","TASS (citing IRGC statements) + UN News (IAEA)","L0","HIGH","Middle East / Persian Gulf","Military / Maritime / Nuclear","IRGC Naval Blockade Threat: Strait of Hormuz Shipping Collapse & Nuclear Plant Strike Escalation","IRGC Navy claims operational preparations complete for Strait of Hormuz interdiction; UK Navy reports critical situation with 27 ship/port attacks since Mar 1, daily transit volume collapsed 138→8 vessels. Concurrent: IAEA chief 'deeply concerned' over projectile strike near Bushehr nuclear power plant (Apr 4). Tehran rejected US 48-hour ceasefire proposal.","https://news.un.org/en/story/2026/04/1167250","","True",""
"137","2026-04-05 16:00:40.530761+00","Al Jazeera / TASS / UN IAEA","L0","HIGH","Middle East (Iran, Israel, Strait of Hormuz, Persian Gulf)","Military / Nuclear / Diplomacy","Trump threatens 'hell' for Iran over Hormuz Strait as Monday deadline approaches; US-Iran strike cycle accelerates with nuclear plant at risk","Trump issues ultimatum threatening 'hell' for Iran over Hormuz Strait control; TASS reports Iran struck Israeli military base in Kuwait and Israeli oil infrastructure. Simultaneous reports: 4 killed, 39 injured in Israeli strike on Beirut; UN IAEA chief Grossi 'deeply concerned' by projectile strike near Bushehr nuclear power plant. Trump claims US-Iran deal possible by Monday. Escalation cycle: Iranian retaliation → Israeli counterstrikes → nuclear site proximity risk.","https://www.aljazeera.com/news/2026/4/5/trump-threatens-hell-for-iran-over-hormuz-strait-as-deadline-approaches","","True",""
"136","2026-04-05 13:00:33.997328+00","Reuters via Google News","L0","HIGH","Middle East / Persian Gulf","Diplomacy / Military Escalation","Iran rejects 48-hour US ceasefire proposal amid escalating Middle East conflict","Tehran rejected a US-brokered 48-hour ceasefire proposal, signaling hardened Iranian posture as Middle East tensions enter second month of active conflict. Follows reported Iranian drone attacks on Kuwait Petroleum facilities.","https://news.google.com/rss/articles/CBMizAFBVV95cUxQdElPWHpkVnlyZ1V3SElmdk5IYks2","","True",""
"135","2026-04-05 10:00:32.53397+00","Al Jazeera (04 Apr 2026, 08:52 UTC) / Reuters Google News feed","L0","HIGH","Middle East / Persian Gulf","Military / Critical Infrastructure / Escalation","Kuwait reports Iranian drone strikes on power and water infrastructure; Gulf regional escalation continues","Kuwait confirmed Iranian drone attacks on critical power and water generation facilities and government sites. This escalation follows broader Iranian drone and missile operations across the Gulf region, occurring amid US-Israeli air strikes against Iranian targets and rejected ceasefire proposals.","https://www.aljazeera.com/news/2026/4/5/kuwait-says-power-water-facilities-hit-by-iran-as-gulf-attacks-continue","","True",""
"133","2026-04-05 04:00:42.232316+00","Reuters via Google News","L0","HIGH","Middle East / Persian Gulf","Military / Energy Infrastructure","Kuwait reports Iranian drone strikes on oil sector infrastructure, power and government sites","Kuwait's state media reports Iranian unmanned aerial vehicles struck oil sector infrastructure including a major complex, alongside power generation and government facilities. This marks a direct kinetic escalation in the regional conflict that entered its second month as of early April 2026.","https://news.google.com/rss/articles/CBMiywFBVV95cUxNcXVncDFVcTcwdG5sVHpKMzR5UVFLN0JJX0kwRjgwUWJjVXV0amlhbEszbkZPdHVoSnkxc0kyRHMwNGZRd0luLUd1OExDUVFkeHdGY2w3a2tVR2o4M2hMR1FyQXVBNVRwcjZzUXhTV3pKa05vOVNLQWRjN0RkaDhxaTlTaUhYdWhCTTVndFlsOXN4SlRXbE5XcU9lbk9VUUpCZk1rOEliSlI4aWlwbVJ2OE9pVUlvYWoyNGI1cl8xY080bURxS3l3MFdsOA","","True",""
